PERMNO,date,SICCD,TICKER,DCLRDT,PAYDT,HSICMG,DIVAMT,FACPR,FACSHR,BIDLO,ASKHI,PRC,VOL,SHROUT,SPREAD,RETX,ewretd
14593,31/01/2008,3571,AAPL,,,,,,,130.00999,194.92999,135.36000,12571229,878876,,-0.316640,-0.045066
14593,29/02/2008,3571,AAPL,,,,,,,119.15000,133.75000,125.02000,8881250,878876,,-0.076389,-0.021401
14593,31/03/2008,3571,AAPL,,,,,,,119.69000,145.06000,143.50000,8196283,881431,,0.147816,-0.025309
14593,30/04/2008,3571,AAPL,,,,,,,147.14000,175.05000,173.95000,8147836,881623,,0.212195,0.031907
14593,30/05/2008,3571,AAPL,,,,,,,177.05000,189.96001,188.75000,6641516,881623,,0.085082,0.031787
14593,30/06/2008,3571,AAPL,,,,,,,167.44000,189.42999,167.44000,6959619,885747,,-0.112901,-0.086625
14593,31/07/2008,3571,AAPL,,,,,,,154.39999,179.55000,158.95000,7055404,885876,,-0.050705,-0.001295
14593,29/08/2008,3571,AAPL,,,,,,,153.23000,179.32001,169.53000,4674638,885876,,0.066562,0.013023
14593,30/09/2008,3571,AAPL,,,,,,,105.26000,166.96001,113.66000,8597382,888326,,-0.329558,-0.120091
14593,31/10/2008,3571,AAPL,,,,,,,88.74000,111.04000,107.59000,14799055,888935,,-0.053405,-0.205222
14593,28/11/2008,3571,AAPL,,,,,,,80.49000,110.99000,92.67000,8441033,888935,,-0.138675,-0.130320
14593,31/12/2008,3571,AAPL,,,,,,,85.04000,100.06000,85.35000,7285237,890415,,-0.078990,0.042176
14593,30/01/2009,3571,AAPL,,,,,,,78.20000,94.58000,90.13000,6527919,890554,,0.056005,-0.024042
14593,27/02/2009,3571,AAPL,,,,,,,86.95000,102.51000,89.31000,5153913,890554,,-0.009098,-0.107667
14593,31/03/2009,3571,AAPL,,,,,,,83.11000,109.87000,105.12000,5728764,892110,,0.177024,0.107474
14593,30/04/2009,3571,AAPL,,,,,,,108.69000,125.83000,125.83000,4340566,892110,,0.197013,0.192762
14593,29/05/2009,3571,AAPL,,,,,,,119.49000,135.81000,135.81000,3465709,892110,,0.079313,0.102330
14593,30/06/2009,3571,AAPL,,,,,,,134.00999,144.67000,142.42999,4639900,895735,,0.048745,0.023921
14593,31/07/2009,3571,AAPL,,,,,,,135.39999,163.39000,163.39000,4003812,895817,,0.147160,0.085217
14593,31/08/2009,3571,AAPL,,,,,,,159.59000,170.05000,168.21001,3010562,895817,,0.029500,0.056864
14593,30/09/2009,3571,AAPL,,,,,,,165.17999,186.15190,185.35001,3687867,899806,,0.101896,0.071255
14593,30/10/2009,3571,AAPL,,,,,,,180.85989,205.20000,188.50000,4763374,900678,,0.016995,-0.050612
14593,30/11/2009,3571,AAPL,,,,,,,188.75000,207.00000,199.91000,3116096,900678,,0.060531,0.028476
14593,31/12/2009,3571,AAPL,,,,,,,188.95000,211.64000,210.73199,4186200,906282,,0.054134,0.055001
14593,29/01/2010,3571,AAPL,,,,,,,192.06300,215.03999,192.06300,5575899,906795,,-0.088591,-0.011388
14593,26/02/2010,3571,AAPL,,,,,,,192.05000,204.62000,204.62000,3948388,906795,,0.065380,0.033603
14593,31/03/2010,3571,AAPL,,,,,,,208.85001,235.84500,235.00000,4451058,909636,,0.148470,0.069289
14593,30/04/2010,3571,AAPL,,,,,,,235.97000,270.82999,261.09000,4539345,909938,,0.111021,0.057843
14593,28/05/2010,3571,AAPL,,,,,,,235.86000,266.35001,256.88000,6656423,909938,,-0.016125,-0.076929
14593,30/06/2010,3571,AAPL,,,,,,,243.20000,274.07401,251.53000,6132684,913482,,-0.020827,-0.056799
14593,30/07/2010,3571,AAPL,,,,,,,245.58000,264.07999,257.25000,5775158,913563,,0.022741,0.059940
14593,31/08/2010,3571,AAPL,,,,,,,239.92999,262.98001,243.10001,3554056,913563,,-0.055005,-0.047566
14593,30/09/2010,3571,AAPL,,,,,,,250.33000,292.32001,283.75000,4387687,915970,,0.167215,0.096418
14593,29/10/2010,3571,AAPL,,,,,,,278.64001,318.00000,300.98001,4529149,917307,,0.060723,0.040681
14593,30/11/2010,3571,AAPL,,,,,,,300.50000,318.62000,311.14999,3525278,917307,,0.033790,0.010736
14593,31/12/2010,3571,AAPL,,,,,,,316.39999,325.47000,322.56000,2580173,921035,,0.036670,0.068851
14593,31/01/2011,3571,AAPL,,,,,,,326.72000,348.48001,339.32001,4017673,921278,,0.051959,0.014412
14593,28/02/2011,3571,AAPL,,,,,,,338.60999,363.13000,353.20999,3459849,921278,,0.040935,0.037036
14593,31/03/2011,3571,AAPL,,,,,,,330.01001,360.00000,348.50751,4253054,924674,,-0.013314,0.008605
14593,29/04/2011,3571,AAPL,,,,,,,327.45999,353.00900,350.13000,3437440,924755,,0.004656,0.019203
14593,31/05/2011,3571,AAPL,,,,,,,332.19000,349.57001,347.82999,2580262,924755,,-0.006569,-0.018549
14593,30/06/2011,3571,AAPL,,,,,,,315.32001,346.10199,335.67001,3449685,926904,,-0.034960,-0.024106
14593,29/07/2011,3571,AAPL,,,,,,,343.26001,403.41000,390.48001,3929412,927091,,0.163285,-0.021813
14593,31/08/2011,3571,AAPL,,,,,,,353.20999,396.75000,384.82999,5981498,927091,,-0.014469,-0.075715
14593,30/09/2011,3571,AAPL,,,,,,,374.04999,413.45001,381.32001,4428460,929277,,-0.009121,-0.100920
14593,31/10/2011,3571,AAPL,,,,,,,369.79999,422.23999,404.78000,4844030,929409,,0.061523,0.107697
14593,30/11/2011,3571,AAPL,,,,,,,363.57001,406.23001,382.20001,3300869,929409,,-0.055783,-0.020645
14593,30/12/2011,3571,AAPL,,,,,,,378.94000,406.53000,405.00000,2327054,932214,,0.059655,-0.003561
14593,31/01/2012,3571,AAPL,,,,,,,411.23001,456.48001,456.48001,2529489,932370,,0.127111,0.085342
14593,29/02/2012,3571,AAPL,,,,,,,455.12000,542.44000,542.44000,4208016,932370,,0.188311,0.036494
14593,30/03/2012,3571,AAPL,,,,,,,530.26001,617.62000,599.54999,5751713,934982,,0.105284,0.017608
